time,prod_id,prod_name,qty,bill
2023-2-6T7:31:26Z,6,Lốc 3 hộp sữa tươi nguyên kem không đường Inex 200ml,45,1
2023-2-6T7:31:26Z,30,Bánh xếp hải sản Bibigo 175g,100,1
2023-2-6T7:31:26Z,39,Mặt nạ giảm mụn Acnes 3 miếng,200,1
2023-2-6T7:31:26Z,46,Nước xịt vải Downy huyền bí 370ml,5,1
2023-2-6T7:31:26Z,28,Kem dâu Iberri hộp 500ml,5,1
2023-2-6T11:12:59Z,26,Kem Topten Socola Wall's cây 55g,200,2
2023-2-6T11:12:59Z,19,Nước trái cây Pororo hương vị chuối 235ml,350,2
2023-2-6T11:12:59Z,27,Kem dưa lưới Melona cây 80ml,100,2
2023-2-6T11:12:59Z,16,6 lon bia Sài Gòn Lager 330ml,150,2
2023-2-6T11:12:59Z,30,Bánh xếp hải sản Bibigo 175g,200,2
2023-2-6T19:06:22Z,36,Kem dưỡng Olay ngừa lão hóa 50g,60,3
2023-2-6T19:06:22Z,40,Tẩy trang Calliderm dưỡng ẩm 250ml,300,3
2023-2-6T19:06:22Z,42,Mặt nạ ngủ Senka cấp ẩm 50g,300,3
2023-2-7T7:31:26Z,6,Lốc 3 hộp sữa tươi nguyên kem không đường Inex 200ml,40,4
2023-2-7T7:31:26Z,30,Bánh xếp hải sản Bibigo 175g,120,4
2023-2-7T8:31:26Z,39,Mặt nạ giảm mụn Acnes 3 miếng,340,5
2023-2-7T8:31:26Z,46,Nước xịt vải Downy huyền bí 370ml,9,5
2023-2-7T10:31:26Z,28,Kem dâu Iberri hộp 500ml,7,6
2023-2-7T11:12:59Z,26,Kem Topten Socola Wall's cây 55g,210,7
2023-2-7T11:12:59Z,19,Nước trái cây Pororo hương vị chuối 235ml,400,7
2023-2-7T12:12:59Z,27,Kem dưa lưới Melona cây 80ml,200,8
2023-2-7T13:12:59Z,16,6 lon bia Sài Gòn Lager 330ml,150,9
2023-2-7T14:12:59Z,30,Bánh xếp hải sản Bibigo 175g,220,10
2023-2-7T19:06:22Z,36,Kem dưỡng Olay ngừa lão hóa 50g,40,11
2023-2-7T19:06:22Z,40,Tẩy trang Calliderm dưỡng ẩm 250ml,288,12
2023-2-7T19:06:22Z,42,Mặt nạ ngủ Senka cấp ẩm 50g,424,12
2023-2-8T7:31:26Z,6,Lốc 3 hộp sữa tươi nguyên kem không đường Inex 200ml,120,13
2023-2-8T8:31:26Z,30,Bánh xếp hải sản Bibigo 175g,120,13
2023-2-8T8:31:26Z,39,Mặt nạ giảm mụn Acnes 3 miếng,340,13
2023-2-8T9:31:26Z,46,Nước xịt vải Downy huyền bí 370ml,9,14
2023-2-8T10:31:26Z,28,Kem dâu Iberri hộp 500ml,7,15
2023-2-8T11:12:59Z,26,Kem Topten Socola Wall's cây 55g,212,16
2023-2-8T11:12:59Z,19,Nước trái cây Pororo hương vị chuối 235ml,313,16
2023-2-8T11:12:59Z,8,Lốc 3 hộp thức uống ngũ cốc uống liền Milo 180ml,125,16
2023-2-8T11:12:59Z,27,Kem dưa lưới Melona cây 80ml,200,16
2023-2-8T11:12:59Z,16,6 lon bia Sài Gòn Lager 330ml,130,16
2023-2-8T11:12:59Z,30,Bánh xếp hải sản Bibigo 175g,222,16
2023-2-8T19:06:22Z,36,Kem dưỡng Olay ngừa lão hóa 50g,40,17
2023-2-8T19:06:22Z,40,Tẩy trang Calliderm dưỡng ẩm 250ml,90,17
2023-2-8T19:06:22Z,14,Bánh Choco-pie hộp 660g (20 cái),255,17
2023-2-8T19:06:22Z,42,Mặt nạ ngủ Senka cấp ẩm 50g,60,17
2023-2-8T19:06:22Z,35,Rong nho tách nước OKI-BUDO hộp 10 gói x 25g,154,17
2023-2-10T7:31:26Z,6,Lốc 3 hộp sữa tươi nguyên kem không đường Inex 200ml,56,18
2023-2-10T8:31:26Z,30,Bánh xếp hải sản Bibigo 175g,120,19
2023-2-10T8:31:26Z,39,Mặt nạ giảm mụn Acnes 3 miếng,340,19
2023-2-10T9:31:26Z,46,Nước xịt vải Downy huyền bí 370ml,9,20
2023-2-10T10:31:26Z,28,Kem dâu Iberri hộp 500ml,7,21
2023-2-10T11:12:59Z,26,Kem Topten Socola Wall's cây 55g,212,21
2023-2-10T11:12:59Z,19,Nước trái cây Pororo hương vị chuối 235ml,313,21
2023-2-10T11:12:59Z,8,Lốc 3 hộp thức uống ngũ cốc uống liền Milo 180ml,125,21
2023-2-10T11:12:59Z,27,Kem dưa lưới Melona cây 80ml,200,21
2023-2-10T11:12:59Z,16,6 lon bia Sài Gòn Lager 330ml,130,21
2023-2-10T13:12:59Z,30,Bánh xếp hải sản Bibigo 175g,222,22
2023-2-10T17:06:22Z,36,Kem dưỡng Olay ngừa lão hóa 50g,40,23
2023-2-10T18:06:22Z,40,Tẩy trang Calliderm dưỡng ẩm 250ml,90,24
2023-2-10T19:06:22Z,14,Bánh Choco-pie hộp 660g (20 cái),255,25
2023-2-10T20:06:22Z,42,Mặt nạ ngủ Senka cấp ẩm 50g,60,26
2023-2-10T21:06:22Z,35,Rong nho tách nước OKI-BUDO hộp 10 gói x 25g,154,27
2023-2-11T7:31:26Z,6,Lốc 3 hộp sữa tươi nguyên kem không đường Inex 200ml,32,28
2023-2-11T7:31:26Z,30,Bánh xếp hải sản Bibigo 175g,100,28
2023-2-11T7:31:26Z,25,Tiêu đen xay Dh Foods 45g,30,28
2023-2-11T7:31:26Z,39,Mặt nạ giảm mụn Acnes 3 miếng,200,28
2023-2-11T7:31:26Z,46,Nước xịt vải Downy huyền bí 370ml,5,28
2023-2-11T7:31:26Z,28,Kem dâu Iberri hộp 500ml,5,28
2023-2-11T11:12:59Z,26,Kem Topten Socola Wall's cây 55g,200,29
2023-2-11T11:12:59Z,19,Nước trái cây Pororo hương vị chuối 235ml,350,29
2023-2-11T12:12:59Z,24,Nước tương Nhị Ca Tam Thái Tử chai 500ml,50,30
2023-2-11T14:12:59Z,27,Kem dưa lưới Melona cây 80ml,100,31
